IA_p,IB_p,IC_p,IA_m,IB_m,IC_m,Rs_A,Rs_B,Rs_C,Ls,state
0.8945,0.4275,0.5564,-0.9219,-0.6077,-0.7131,2.3045,3.3253,3.3672,0.0141,1
0.3672,0.5642,0.4978,-0.5703,-0.5296,-0.4787,3.6365,3.6278,3.6749,0.0183,0
0.4648,0.5251,0.9471,-0.6875,-0.5882,-1.2014,3.4586,3.4615,2.2561,0.0149,3
0.6992,0.6814,0.6346,-0.9414,-0.6663,-0.6154,2.24,3.411,3.4873,0.0149,1
0.5625,0.8962,0.6931,-0.7461,-0.9983,-0.7131,3.1836,1.8979,3.2352,0.0145,2
0.3476,0.5837,0.5564,-0.5508,-0.5491,-0.5373,3.6027,3.6001,3.6264,0.0182,0
0.3672,0.7985,0.6346,-0.7266,-0.764,-0.6545,3.321,2.1696,3.3612,0.0127,2
0.4648,0.6228,0.4392,-0.668,-0.6077,-0.5959,3.5968,3.6429,3.6674,0.0186,0
0.5625,0.8767,0.4783,-0.668,-0.9593,-0.635,3.3302,2.1741,3.3778,0.0142,2
0.4453,0.6228,0.7908,-0.6094,-0.5296,-0.8889,3.2514,3.275,2.2329,0.0131,3
0.9336,0.486,0.5955,-0.9024,-0.5882,-0.7326,2.0835,3.29,3.3785,0.0153,1
0.4062,0.5642,0.3416,-0.707,-0.4319,-0.5569,3.4978,3.4919,3.5195,0.0182,0
0.3867,0.5056,0.8494,-0.7852,-0.3733,-0.8694,3.2102,3.2324,2.2234,0.0128,3
0.4844,0.8571,0.5564,-0.9414,-1.1155,-0.674,3.2273,2.0395,3.2702,0.0128,2
0.8164,0.486,0.5369,-1.1367,-0.6077,-0.5373,2.2378,3.4288,3.492,0.0134,1
0.5625,1.0329,0.6931,-0.5703,-0.8811,-0.6154,3.1426,1.896,3.2184,0.0121,2
0.543,0.7985,0.615,-0.707,-0.8616,-0.5764,3.2219,2.036,3.2893,0.0132,2
0.4844,0.5446,0.9861,-0.5703,-0.6468,-1.0451,3.1102,3.1286,1.8929,0.0112,3
0.4258,0.5837,0.8885,-0.6094,-0.6663,-0.9865,3.4803,3.4774,2.2551,0.0154,3
0.543,0.486,0.4392,-0.6485,-0.5686,-0.5569,3.6279,3.6422,3.6932,0.0186,0
0.8359,0.486,0.6541,-1.0195,-0.5686,-0.6545,2.2032,3.3839,3.4364,0.0151,1
0.7952,1.1637,1.0655,-0.7087,-0.8871,-0.829,0,0,0,0,5
0.6194,1.1051,0.9093,-0.7673,-0.9066,-1.0829,0,0,0,0,5
0.4453,0.5837,0.5955,-0.6875,-0.6077,-0.4592,3.6415,3.6151,3.7042,0.0181,0
0.4648,0.6814,0.4197,-0.668,-1.0374,-0.6545,3.2393,2.0775,3.2693,0.0153,2
0.4258,0.5446,0.908,-0.7656,-0.5686,-0.9865,3.0985,3.1151,1.8288,0.0126,3
