num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,nothing1,nothing2,nothing3,nothing4,nothing5,nothing6,nothing7,nothing8,nothing9,nothing10,nothing11,nothing12,nothing13,nothing14,nothing15,nothing16,nothing17,state,target
16923,0.5039,0.486,0.5369,-0.6094,-0.5882,-0.5373,3.5913,3.6099,3.6535,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
17506,0.3086,0.5056,0.4002,-0.6289,-0.5296,-0.4592,3.6134,3.5954,3.6516,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
17507,0.3086,0.5056,0.4002,-0.6289,-0.5686,-0.5178,3.624,3.5926,3.6602,0.0186,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
18090,0.5625,0.5446,0.5564,-0.5899,-0.5686,-0.5178,3.624,3.5926,3.6602,0.0186,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
18673,0.4062,0.6032,0.4978,-0.6094,-0.5296,-0.5764,3.6103,3.611,3.6643,0.0181,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
18674,0.4062,0.6032,0.4978,-0.6094,-0.5296,-0.5569,3.6111,3.5908,3.6567,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
19257,0.4844,0.5056,0.4392,-0.6289,-0.4319,-0.5569,3.6111,3.5908,3.6567,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
19840,0.4258,0.5446,0.3221,-0.6094,-0.5686,-0.4787,3.6047,3.6364,3.6349,0.0185,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
19841,0.4258,0.5446,0.3221,-0.6094,-0.5686,-0.4787,3.6138,3.5743,3.6871,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
20424,0.3672,0.3884,0.4783,-0.707,-0.5882,-0.4397,3.6138,3.5743,3.6871,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
21007,0.3867,0.3689,0.4978,-0.6485,-0.5296,-0.5764,3.6023,3.6108,3.6685,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
21008,0.3867,0.3689,0.4978,-0.6485,-0.5296,-0.5764,3.6023,3.6231,3.6584,0.0185,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
21591,0.3476,0.5446,0.3221,-0.6289,-0.6077,-0.5178,3.6224,3.6231,3.6584,0.0185,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
22174,0.3867,0.3689,0.4588,-0.6875,-0.5686,-0.4397,3.5896,3.6249,3.6643,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
22175,0.3867,0.3689,0.4588,-0.6875,-0.5686,-0.4397,3.5896,3.6249,3.6781,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
22758,0.4844,0.4275,0.5174,-0.5313,-0.6468,-0.5569,3.6117,3.5973,3.6781,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
23341,0.5039,0.5446,0.6736,-0.5703,-0.4515,-0.5764,3.6153,3.6335,3.6779,0.0187,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
23342,0.5039,0.5446,0.6736,-0.5703,-0.4515,-0.5764,3.6153,3.6335,3.6779,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
23925,0.4258,0.447,0.4978,-0.6094,-0.6468,-0.5764,3.6051,3.6198,3.7027,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
24509,0.543,0.4665,0.4783,-0.6485,-0.5296,-0.5764,3.6015,3.6261,3.7089,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
